,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
8963,ESP35438,ESP,35438,JAEN,170065.0,468.98,47.0,47.0,0.28,20.01,19.39,0.620000000000001,37.7739955,-3.793657533,362.62740415369524
8967,CHN35448,CHN,35448,DONGGUANG,105379.2,61.67,43.13,43.13,1.64,20.78,19.86,0.9200000000000017,37.88297428,116.5341903,1629.9821631263173
8968,JPN35450,JPN,35450,KORIYAMA,889065.0,1223.87,33.32,33.32,3.47,18.47,17.14,1.3299999999999983,37.51384081,140.4117955,726.4374484218096
8978,USA35467,USA,35467,WICHITA,433536.0,1853.94,41.28,41.28,-0.09,17.67,17.21,0.46000000000000085,37.6917131,-97.23358372,233.84575552606879
8983,TUR35478,TUR,35478,AYDIN,161676.0,233.24,43.18,43.18,1.2,20.89,20.73,0.16000000000000014,37.8484874,27.83543247,693.1744126221917
8988,USA35487,USA,35487,RICHMOND,505812.0,2138.968,33.2,33.2,2.59,17.5,16.48,1.0199999999999996,37.47129026,-77.45232158,191.94590122875857
9006,TUR35532,TUR,35532,DENIZLI,275500.0,307.39,45.65,45.65,3.81,20.42,18.49,1.7710000000000001,37.78696326,29.12867951,896.2555710986044
9013,CHN35554,CHN,35554,PENGLAI,189753.0,66.62,35.55,35.55,3.0,22.19,21.71,0.4800000000000004,37.7981671,120.7760158,2848.2888021615126
9019,TUR35563,TUR,35563,ISPARTA,148500.0,169.66,44.39,44.39,1.93,15.68,15.56,0.11999999999999922,37.77709461,30.56525839,875.2799717081222
9020,TKM35565,TKM,35565,MARY,181621.0,1810.13,48.61,48.61,-1.7769999999999997,18.22,17.77,0.4499999999999993,37.63214624,61.88399387,100.33588747769497
9027,ESP35596,ESP,35596,LORCA,112054.0,430.92,46.23,46.23,1.3,18.14,17.77,0.370000000000001,37.66560149,-1.662165134,260.0343451220644
